"Title"," Author"," ISBN"," My Rating"," Average Rating"," Publisher"," Binding"," Year Published"," Original Publication Year"," Date Read"," Date Added"," Bookshelves"," My Review"
"Nigger","Dick Gregory","978-0671735609",,,,,,,"02/27/01",,"read"," "
"Football Factory","John King","978-0099731917",,,,,,,"04/24/01",,"read"," "
"American Skin","Don De Grazia","978-0684862224",,,,,,,"05/28/01",,"read"," "
"Hell's Angels","Hunter S. Thompson","978-0345410085",,,,,,,"07/20/01",,"read",
"Catcher in the Rye","J.D. Salinger","978-0316769174",,,,,,,"07/24/01",,"read"," "
"The Judas Factor: The Plot to Kill Malcolm X","Karl Evanzz","978-1560250661",,,,,,,"08/17/01",,"read",
"If Chins Could Kill: Confessions of a B-Movie Actor","Bruce Campbell","978-0312291457",,,,,,,"08/23/01",,"read",
"The Hobbit","J.R.R. Tolkien","978-0618968633",,,,,,,"09/18/01",,"read",
"Go Ask Alice","Anonymous","978-1416914631",,,,,,,"09/30/01",,"read",
"Fellowship of the Rings","J.R.R. Tolkien","978-0618574940",,,,,,,"09/30/01",,"read",
"The Two Towers","J.R.R. Tolkien","978-0618574957",,,,,,,"10/09/01",,"read",
"The Return of the King","J.R.R. Tolkien","978-0618574971",,,,,,,"10/13/01",,"read",
"Hell's Angel: The Life and Times of Sonny Barger","Sonny Barger","978-0060937546",,,,,,,"10/15/01",,"read",
"RFK","C. David Heymann","978-0762836567",,,,,,,"10/24/01",,"read",
"Headhunters","John King","978-0224043090",,,,,,,"10/31/01",,"read",
"His Way","Kitty Kelley","978-0553386189",,,,,,,"11/10/01",,"read",
"England Away","John King","978-0224052535",,,,,,,"11/10/01",,"read",
"White Trash","John King","978-0224060493",,,,,,,"11/13/01",,"read",
"A marriage made in heaven, or too tired to have an affair","Erma Bombeck","978-0061092022",,,,,,,"11/19/01",,"read",
"Boys of Summer","Roger Kahn","978-0060883966",,,,,,,"11/28/01",,"read",
"Harry Potter and the Chamber of Secrets","J.K. Rowling","978-0439064873",,,,,,,"12/02/01",,"read",
"Harry Potter and the Prisoner of Azkaban","J.K. Rowling","978-0439136365",,,,,,,"12/14/01",,"read",
"Harry Potter and the Sorcerer's Stone","J.K. Rowling","978-0590353427",,,,,,,"12/25/01",,"read",
"A Drink with Shane MacGowan","Shane MacGowan","978-0802137906",,,,,,,"01/07/02",,"read",
"Harry Potter and the Goblet of Fire","J.K. Rowling","978-0747554424",,,,,,,"01/11/02",,"read",
"No More Prisons","William Upski Wimsatt","978-1593762056",,,,,,,"01/15/02",,"read",
"M. Butterfly","David Henry Hwang","978-0822207122",,,,,,,"01/29/02",,"read",
"Galapagos","Kurt Vonnegut","978-0385333870",,,,,,,"09/08/02",,"read",
"Nigger","Randall Kennedy","978-0375421723",,,,,,,"09/10/02",,"read",
"Understanding Comics","Scott McCloud","978-0060976255",,,,,,,"09/16/02",,"read",
"Off the Road","Carolyn Cassady","978-0140153903",,,,,,,"09/18/02",,"read",
"Fear and Loathing in Las Vegas and other American stories","Hunter S. Thompson","978-0679602316",,,,,,,"09/22/02",,"read",
"Borstal Boy","Brendan Behan","978-1567921052",,,,,,,"09/27/02",,"read",
"The Great Shame","Thomas Kenneally","978-0385720267",,,,,,,"10/03/02",,"read",
"The Irish Brigade In the Civil War","Joseph G. Bilby","978-0938289975",,,,,,,"10/08/02",,"read",
"The World According to Garp","John Irving","978-0679603061",,,,,,,"10/18/02",,"read",
"Snapshot Poetics","Allen Ginsberg","978-0811803724",,,,,,,"10/20/02",,"read",
"Skinny Legs and All","Tom Robbins","978-0553377880",,,,,,,"10/29/02",,"read",
"Bridget Jones Diary","Helen Fielding","978-0141000190",,,,,,,"11/05/02",,"read",
"American Scream: The Bill Hicks Story","Cynthia True","0380803771",,,,,,,"11/07/02",,"read",
"Bridget Jones: The Edge of Reason","Helen Fielding","978-0140298475",,,,,,,"11/09/02",,"read",
"The Hobbit","J.R.R. Tolkien","978-0618968633",,,,,,,"11/18/02",,"read",
"The Mole People: Life in the Tunnels beneath New York City","Jennifer Toth","978-1556522413",,,,,,,"11/20/02",,"read",
"Live From New York: An uncensored history of 'Saturday Night Live'","Tom Shales","978-0316781466",,,,,,,"11/21/02",,"read",
"American Hardcore","Steven Blush","978-0922915712",,,,,,,"11/26/02",,"read",
"How the Irish Saved Civilization","Thomas Cahill","978-0385418492",,,,,,,"12/29/02",,"read",
"About a Boy","Nick Hornby","978-0965593892",,,,,,,"12/29/03",,"read",
"The Scarlet Professor","Barry Werth","978-0385494687",,,,,,,"12/18/03",,"read",
"100 Little Hitlers","Elinor Langer","0805050981",,,,,,,"11/19/03",,"read",
"Holy Days","Liz Harris","978-0684813660",,,,,,,"08/28/03",,"read",
"Harry Potter and the Order of the Phoenix","J.K. Rowling","978-0439567626",,,,,,,"08/02/03",,"read",
"White Jazz","James Ellroy","978-0375727368",,,,,,,"07/30/03",,"read",
"One Fearful Yellow Eye","John D. McDonald","978-0449224588",,,,,,,"07/28/03",,"read",
"Rum Punch","Elmore Leonard","978-0060082192",,,,,,,"07/24/03",,"read",
"Far Side of the Dollar","Ross McDonald","978-0553129144",,,,,,,"07/21/03",,"read",
"Hardboiled America","Geoffrey O'Brien","978-0306807732",,,,,,,"07/16/03",,"read",
"The Lady in the Lake","Raymond Chandler","978-0394758251",,,,,,,"07/09/03",,"read",
"The Black Dahlia","James Ellroy","978-0446674362",,,,,,,"07/06/03",,"read",
"The Thin Man","Dashiell Hammett","978-0679722632",,,,,,,"07/05/03",,"read",
"In Cold Blood","Truman Capote","978-0375507908",,,,,,,"06/30/03",,"read",
"Steal This Book","Abbie Hoffman","978-1568582177",,,,,,,"06/24/03",,"read",
